Array Size,Data Type,Time (ms),Comparisons,Swaps,Early Termination
100,RANDOM,0,1261,4950,92,false
100,SORTED,0,0049,99,0,true
100,REVERSE_SORTED,0,0991,4950,50,false
500,RANDOM,1,3049,124750,490,false
500,SORTED,0,0096,499,0,true
500,REVERSE_SORTED,0,2929,124750,250,false
1000,RANDOM,1,1835,499500,993,false
1000,SORTED,0,0022,999,0,true
1000,REVERSE_SORTED,1,0959,499500,500,false
2000,RANDOM,3,8502,1999000,1996,false
2000,SORTED,0,0044,1999,0,true
2000,REVERSE_SORTED,3,8160,1999000,1000,false
5000,RANDOM,23,2691,12497500,4989,false
5000,SORTED,0,0097,4999,0,true
5000,REVERSE_SORTED,23,3297,12497500,2500,false
10000,RANDOM,92,9664,49995000,9993,false
10000,SORTED,0,0200,9999,0,true
10000,REVERSE_SORTED,96,8371,49995000,5000,false
